timestamp;user_id;ticker;amount;best_model;metric_name;metric_value;est_profit
2025-11-22T06:56:33.610099;878963610;MSFT;1000.0;GBM[hgb](lag=60,n=600,d=3,lr=0.05);RMSE;11.259578;41.23
2025-11-22T06:56:33.848545;878963610;MSFT;1000.0;GBM[hgb](lag=60,n=600,d=3,lr=0.05);RMSE;11.259578;41.23
2025-11-22T06:56:40.807162;878963610;AAPL;1000.0;LSTM(window=90);RMSE;6.067041;0.00
2025-11-22T07:11:49.057317;878963610;GOOGL;1000.0;LSTM(window=60);RMSE;11.531948;15.69
2025-11-22T07:11:55.620770;878963610;AAPL;1000.0;LSTM(window=90);RMSE;6.068398;0.00
2025-11-22T07:26:38.944309;878963610;DOGE-USD;1000.0;GBM[hgb](lag=60,n=1000,d=3,lr=0.05);RMSE;0.012666;231.41
2025-11-22T07:26:55.458758;878963610;XRP-USD;1000.0;GBM[hgb](lag=60,n=1000,d=5,lr=0.05);RMSE;0.162837;146.88
2025-11-22T07:36:57.085641;878963610;BNB-USD;1000.0;GBM[hgb](lag=60,n=1000,d=3,lr=0.03);RMSE;65.733201;80.36
2025-11-22T09:43:55.637688;878963610;NVDA;1000.0;TCN(win=60,F=32,S=3,D=0.1);RMSE;10.552928;0.00
2025-11-22T09:44:07.942954;878963610;AAPL;1000.0;LSTM(window=90);RMSE;6.070074;0.00
2025-11-22T10:20:34.395689;878963610;DOGE-USD;1000.0;GBM[hgb](lag=60,n=1000,d=3,lr=0.05);RMSE;0.012666;231.41
2025-11-22T12:55:37.141495;878963610;GOOGL;1000.0;LSTM(window=60);RMSE;11.531948;15.69
2025-11-22T13:00:07.331733;878963610;DOGE-USD;1000.0;GBM[hgb](lag=60,n=1000,d=3,lr=0.05);RMSE;0.012666;231.41
2025-11-22T13:00:07.559117;878963610;BNB-USD;1000.0;GBM[hgb](lag=60,n=1000,d=3,lr=0.03);RMSE;65.733201;80.36
2025-11-22T16:30:09.604860;878963610;FIL-USD;1000.0;TCN(win=120,F=32,S=3,D=0.1);RMSE;0.388200;0.00
2025-11-22T16:30:23.198634;878963610;INJ-USD;1000.0;LSTM(window=90);RMSE;0.870582;0.00
2025-11-22T16:46:23.024000;878963610;PYTH-USD;1000.0;LSTM(window=90);RMSE;0.010663;0.00
2025-11-22T16:46:41.849508;878963610;MKR-USD;1000.0;TCN(win=120,F=32,S=3,D=0.0);RMSE;73.467578;0.00
2025-11-22T17:01:23.842656;878963610;XMR-USD;1000.0;GBM[hgb](lag=30,n=600,d=5,lr=0.03);RMSE;31.011438;93.54
2025-11-22T17:01:45.081648;878963610;BCH-USD;1000.0;TCN(win=120,F=32,S=2,D=0.0);RMSE;45.971603;0.00
2025-11-22T17:16:54.456113;878963610;LINK-USD;1000.0;GBM[hgb](lag=30,n=1000,d=5,lr=0.03);RMSE;0.994603;173.54
2025-11-22T17:17:26.952870;878963610;DOT-USD;1000.0;GBM[hgb](lag=30,n=600,d=3,lr=0.03);RMSE;0.270847;0.00
2025-11-22T17:29:13.465923;878963610;AAPL;1000.0;LSTM(window=60);RMSE;6.080889;0.00
2025-11-22T17:29:13.601971;878963610;AAPL;1000.0;LSTM(window=60);RMSE;6.080889;0.00
2025-11-22T17:29:33.762937;878963610;MSFT;1000.0;GBM[hgb](lag=60,n=600,d=3,lr=0.05);RMSE;11.259578;41.23
2025-11-22T17:29:33.848592;878963610;MSFT;1000.0;GBM[hgb](lag=60,n=600,d=3,lr=0.05);RMSE;11.259578;41.23
2025-11-22T17:42:54.215995;878963610;IBM;1000.0;LSTM(window=90);RMSE;10.844358;21.52
2025-11-22T17:43:18.895538;878963610;AMZN;1000.0;NBEATS(win=120,B=3,W=64,H=4);RMSE;9.931472;166.84
2025-11-22T17:57:37.372166;878963610;META;1000.0;LSTM(window=90);RMSE;47.208212;0.00
2025-11-22T17:57:57.577497;878963610;ADBE;1000.0;TCN(win=120,F=32,S=2,D=0.1);RMSE;8.483800;0.00
2025-11-22T18:05:21.782588;878963610;XMR-USD;1000.0;GBM[hgb](lag=30,n=600,d=5,lr=0.03);RMSE;31.011438;93.54
2025-11-22T18:10:03.917202;878963610;TSLA;1000.0;LSTM(window=60);RMSE;19.401481;0.00
2025-11-22T18:13:05.972553;878963610;BTC-USD;1000.0;LSTM(window=90);RMSE;6145.904598;0.00
2025-11-22T18:28:42.573739;878963610;ETH-USD;1000.0;GBM[hgb](lag=60,n=1000,d=5,lr=0.05);RMSE;246.022651;0.00
2025-11-22T18:31:39.812490;878963610;ADA-USD;1000.0;GBM[hgb](lag=30,n=1000,d=5,lr=0.03);RMSE;0.050679;84.87
2025-11-22T18:31:39.924259;878963610;ADA-USD;1000.0;GBM[hgb](lag=30,n=1000,d=5,lr=0.03);RMSE;0.050679;84.87
2025-11-22T18:41:33.868866;878963610;AAPL;1000.0;LSTM(window=90);RMSE;7.789520;0.00
2025-11-22T18:41:33.998783;878963610;AAPL;1000.0;LSTM(window=90);RMSE;7.789520;0.00
2025-11-22T18:58:51.982533;878963610;MSFT;1000.0;GBM[hgb](lag=60,n=600,d=3,lr=0.03);RMSE;12.590518;15.78
2025-11-22T19:12:51.899390;878963610;META;1000.0;LSTM(window=90);RMSE;47.918660;0.00
2025-11-22T19:16:12.323896;878963610;TSM;1000.0;LSTM(window=90);RMSE;9.268157;0.00
